,FIPS Code,State,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
463,72119,PR,21.9,33.1,22.2,22.8
464,72127,PR,18.7,21.9,22.2,37.3
465,72129,PR,28.1,26.0,27.6,18.3
466,72135,PR,17.4,24.2,29.1,29.3
467,72137,PR,18.9,26.9,27.5,26.8
468,72139,PR,15.6,24.7,23.7,36.0
469,72143,PR,27.0,27.6,23.2,22.2
470,72145,PR,28.4,26.2,24.1,21.2
471,72151,PR,29.0,25.7,27.2,18.0
472,1001,AL,11.5,33.6,28.4,26.6
473,1003,AL,9.2,27.7,31.3,31.9
474,1015,AL,15.6,32.8,33.2,18.5
475,1033,AL,14.8,37.8,29.2,18.1
476,1051,AL,13.4,32.5,29.1,25.1
477,1055,AL,15.4,32.9,33.9,17.8
478,1061,AL,19.7,36.0,31.8,12.5
479,1065,AL,16.0,43.4,26.4,14.2
480,1067,AL,20.6,32.6,29.8,17.1
481,1069,AL,14.0,31.2,33.1,21.7
482,1077,AL,12.6,36.0,27.9,23.5
483,1079,AL,20.7,41.2,25.5,12.6
484,1081,AL,9.1,23.7,31.8,35.3
485,1083,AL,15.3,30.4,28.6,25.7
486,1085,AL,21.7,39.6,24.0,14.7
487,1089,AL,8.3,20.6,28.3,42.8
488,1097,AL,13.5,34.0,29.3,23.2
489,1101,AL,13.3,25.0,28.4,33.4
490,1103,AL,15.9,30.4,31.3,22.4
491,1107,AL,18.5,37.2,30.2,14.1
492,1113,AL,16.2,31.4,34.6,17.8
493,1125,AL,11.7,29.9,27.7,30.7
494,2020,AK,6.1,23.4,34.4,36.1
495,2090,AK,5.5,22.6,40.5,31.4
496,2170,AK,7.1,33.1,38.3,21.6
497,4003,AZ,12.6,24.1,40.2,23.1
498,4005,AZ,9.5,22.0,32.3,36.2
499,4015,AZ,13.9,35.3,37.8,12.9
500,4019,AZ,11.6,22.2,33.8,32.4
501,4025,AZ,9.0,25.8,39.3,25.9
502,4027,AZ,26.7,25.7,32.5,15.0
503,5007,AR,11.4,29.2,26.1,33.4
504,5025,AR,10.4,46.6,26.8,16.2
505,5031,AR,10.7,34.6,28.5,26.2
506,5033,AR,15.0,37.3,31.7,16.0
507,5045,AR,8.2,30.5,30.8,30.6
508,5051,AR,10.9,31.4,36.0,21.6
509,5053,AR,9.2,43.8,28.3,18.7
510,5069,AR,13.9,38.9,29.3,18.0
511,5079,AR,18.9,47.3,24.1,9.7
512,5081,AR,11.0,44.7,31.8,12.5
513,5085,AR,10.9,36.7,31.8,20.6
514,5087,AR,19.4,43.9,22.6,14.2
515,5091,AR,13.5,35.3,34.4,16.8
516,5105,AR,15.2,41.7,30.5,12.7
517,5111,AR,19.7,43.1,26.2,11.1
518,5119,AR,9.6,26.0,30.1,34.3
519,5125,AR,9.4,31.4,32.6,26.7
520,5131,AR,15.9,31.0,31.7,21.3
521,5143,AR,15.0,25.7,26.0,33.3
522,6007,CA,10.8,22.5,39.5,27.2
523,6019,CA,24.0,22.7,32.1,21.2
524,6025,CA,30.3,24.3,30.2,15.2
525,6029,CA,25.9,27.8,29.9,16.4
526,6031,CA,26.6,25.3,33.4,14.7
527,6039,CA,28.1,24.9,32.5,14.6
528,6047,CA,30.9,25.3,30.1,13.8
529,6053,CA,28.5,20.3,26.5,24.7
530,6055,CA,14.5,17.8,32.0,35.7
531,6077,CA,20.7,28.3,32.2,18.8
532,6079,CA,8.7,19.9,36.0,35.4
533,6083,CA,19.1,17.8,29.0,34.2
534,6087,CA,13.7,15.5,30.0,40.8
535,6089,CA,8.9,25.4,43.5,22.2
536,6095,CA,11.6,23.8,37.7,26.9
537,6097,CA,11.2,18.7,34.5,35.5
538,6099,CA,21.1,29.3,32.5,17.1
539,6101,CA,21.8,23.3,36.6,18.2
540,6107,CA,29.2,25.5,30.7,14.6
541,6111,CA,15.0,19.2,32.1,33.8
542,6115,CA,17.7,23.6,41.6,17.1
543,8013,CO,5.0,11.7,21.2,62.1
544,8041,CO,5.8,20.4,35.3,38.5
545,8069,CO,4.1,19.0,29.6,47.3
546,8077,CO,9.5,27.6,34.7,28.2
547,8101,CO,10.3,29.1,38.8,21.8
548,8119,CO,2.8,23.2,36.3,37.7
549,8123,CO,11.9,27.3,33.2,27.5
550,9001,CT,10.0,21.5,20.6,47.9
551,9009,CT,9.9,30.7,24.4,35.0
552,9011,CT,7.7,29.5,29.5,33.3
553,9015,CT,11.6,33.2,30.9,24.3
554,10001,DE,12.6,32.9,30.8,23.7
555,10005,DE,11.9,31.2,28.7,28.3
556,12001,FL,7.4,21.2,28.1,43.3
557,12005,FL,9.3,31.0,35.9,23.7
558,12009,FL,7.8,28.3,33.8,30.2
559,12015,FL,9.4,34.6,32.6,23.4
560,12017,FL,11.6,37.2,32.9,18.3
561,12021,FL,12.9,25.8,24.9,36.4
562,12033,FL,9.5,27.2,36.7,26.5
563,12035,FL,7.8,34.3,32.8,25.1
564,12039,FL,20.2,36.2,27.4,16.2
